"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL2263120";"";"0";"640.99";"2";"10.29";"10o";"CC1(C)CC[C@]2(C(=O)OCCCCCCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"720.0";"nM";"6.14";"";"";"UO_0000065";"9.58";"0.18";"-4.15";"7.33";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL457064";"";"0";"513.76";"2";"6.35";"10c";"CC1(C)CC[C@]2(C(=O)NCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"15439.99";"nM";"4.81";"";"";"UO_0000065";"9.36";"0.18";"-1.54";"5.55";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2263121";"";"0";"603.89";"2";"7.96";"10b";"CC1(C)CC[C@]2(C(=O)NC(Cc3ccccc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"3310.0";"nM";"5.48";"";"";"UO_0000065";"9.07";"0.17";"-2.48";"6.33";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL168";"OLEANOLIC_ACID";"0";"456.71";"1";"7.23";"1, 12B";"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"5050.1";"nM";"5.30";"";"";"UO_0000065";"11.60";"0.22";"-1.93";"9.21";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL508831";"";"0";"590.85";"2";"9.16";"12m";"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"540.0";"nM";"6.27";"";"";"UO_0000065";"10.61";"0.20";"-2.89";"7.48";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL506556";"";"0";"590.85";"2";"9.16";"12l";"CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cccc(C(=O)O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"620.0";"nM";"6.21";"";"";"UO_0000065";"10.51";"0.20";"-2.95";"7.40";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2262829";"";"0";"677.97";"2";"8.37";"11r";"COc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1OC";"IC50";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"8.98";"0.17";"-2.28";"5.79";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2262836";"";"0";"661.92";"2";"8.08";"11p";"CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1";"IC50";"'='";"440.0";"nM";"6.36";"";"";"UO_0000065";"9.60";"0.18";"-1.72";"6.05";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2262833";"";"0";"647.94";"2";"8.36";"11m";"COc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O";"IC50";"'='";"530.0";"nM";"6.28";"";"";"UO_0000065";"9.69";"0.18";"-2.08";"6.55";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
"CHEMBL2262832";"";"0";"631.94";"2";"8.66";"11l";"Cc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1";"IC50";"'='";"650.0";"nM";"6.19";"";"";"UO_0000065";"9.79";"0.18";"-2.47";"7.14";"False";"CHEMBL3055898";"Inhibition of PTP1B (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL335";"Protein-tyrosine phosphatase 1B";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3045057";"1";"Scientific Literature";"Med Chem Res";"2012";""
