,Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value,Standard Units
0,CHEMBL2263120,CC1(C)CC[C@]2(C(=O)OCCCCCCCCCCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.72,nM
1,CHEMBL2263121,CC1(C)CC[C@]2(C(=O)NC(Cc3ccccc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',3.31,nM
2,CHEMBL168,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',5.0501000000000005,nM
3,CHEMBL508831,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.54,nM
4,CHEMBL506556,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cccc(C(=O)O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.62,nM
5,CHEMBL2262829,COc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1OC,'=',0.82,nM
6,CHEMBL2262836,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.44,nM
7,CHEMBL2262833,COc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,'=',0.53,nM
8,CHEMBL2262832,Cc1ccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)cc1,'=',0.65,nM
9,CHEMBL2263114,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc(F)cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.57,nM
10,CHEMBL2263111,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccccc3Cl)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.56,nM
11,CHEMBL2263110,CSCCC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,'=',0.55,nM
12,CHEMBL511000,CC1(C)CC[C@]2(C(=O)Nc3ccc(C(=O)O)cc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',3.09,nM
13,CHEMBL506556(1),CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6cccc(C(=O)O)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.62,nM
14,CHEMBL506934,CCOC(=O)C(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C2[C@@H]4CC(C)(C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C,'=',2.89,nM
15,CHEMBL2262831,Cc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,'=',0.55,nM
16,CHEMBL280487,C=C1[C@@H]([C@@H](O)C[C@H](C)[C@H]2O[C@@]3(CCCCO3)CC[C@H]2C)O[C@@H]2CC[C@@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)O[C@H]2[C@@H]1O,'=',1.3,nM
17,CHEMBL140954,O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1,'=',4.2,nM
18,CHEMBL440955,O=C1C[C@@H](c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.27,nM
19,CHEMBL246869,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(Br)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.5,nM
20,CHEMBL210836,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)[N-]1.[Na+],'=',0.032,nM
21,CHEMBL382311,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)C(N)=O,'=',0.24,nM
22,CHEMBL1935500,C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/C(C)CCC)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N,'=',1.41,nM
23,CHEMBL1935493,C/C=C/C=C/C(=O)N1Cc2cc(OCCc3nc(/C=C/C(C)C)oc3C)ccc2C[C@H]1C(=O)O.CC(C)(C)N,'=',2.2,nM
24,CHEMBL253500,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(CCCc4ccccc4)[nH]3)cc2)S(=O)(=O)N1,'=',0.043,nM
25,CHEMBL254301,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(C(F)(F)F)c3)C3=NC[C@H](Cc4ccccc4)N3)cc2)S(=O)(=O)N1,'=',1.3,nM
26,CHEMBL9473,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc(-c3ccccc3)cs2)n2nnc3ccccc32)cc1,'=',0.19,nM
27,CHEMBL268526,Cc1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,'=',0.012,nM
28,CHEMBL1083714,O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,'=',0.025,nM
29,CHEMBL1778929,C=CCc1cc(C(=O)/C=C/c2cc(Br)c(O)cc2OC)ccc1O,'=',7.1,nM
30,CHEMBL403746,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(CCc4ccccc4)[nH]3)cc2)S(=O)(=O)N1,'=',0.18,nM
31,CHEMBL1938825,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,'=',0.018000000000000002,nM
32,CHEMBL1938828,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,'=',0.009000000000000001,nM
33,CHEMBL1938829,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,'=',0.011000000000000001,nM
34,CHEMBL129681,O=C(O)C(=O)c1ccc(OCc2ccc(COc3ccc(C(=O)C(=O)O)cc3)cc2)cc1,'=',2.7,nM
35,CHEMBL438957,COC(=O)c1ccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc2c1,'=',0.15,nM
36,CHEMBL209197,O=C1CC(c2ccc(CC(NS(=O)(=O)c3c(F)cccc3F)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.16,nM
37,CHEMBL437119,O=C1CC(c2ccc(CC(NS(=O)(=O)c3ccc(F)cc3F)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.11,nM
38,CHEMBL207645,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cc(Cl)ccc3Cl)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.16,nM
39,CHEMBL211171,COc1ccc(S(=O)(=O)NC(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)c2nc3ccccc3[nH]2)cc1,'=',0.094,nM
40,CHEMBL211076,Cc1cccc(S(=O)(=O)NC(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)c2nc3ccccc3[nH]2)c1,'=',0.085,nM
41,CHEMBL380164,O=C1CC(c2ccc(CC(NS(=O)(=O)c3ccc(F)cc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,'=',0.08,nM
42,CHEMBL2113225,O=C(CCc1ccccc1)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1.O=C(O)C(F)(F)F,'=',0.6,nM
43,CHEMBL254513,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(C(F)(F)F)c3)c3ncc[nH]3)cc2)S(=O)(=O)N1,'=',0.24,nM
44,CHEMBL378614,Cc1cc(C[C@H](NS(=O)(=O)c2ccc(Br)c(C(F)(F)F)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],'=',0.016,nM
45,CHEMBL208114,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],'=',0.018000000000000002,nM
46,CHEMBL486986,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,'=',3.9,nM
47,CHEMBL363977,CC(C)C[C@H](CC(=O)[C@H](Cc1ccc(OCC(=O)O)cc1)NC(=O)[C@H](CNC(=O)OCc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21)C(N)=O,'=',4.3,nM
48,CHEMBL364349,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OCC(=O)O)cc1)NC(=O)C(CNC(=O)OCc1ccccc1)CNC(=O)OCc1ccccc1)C(N)=O,'=',2.8,nM
49,CHEMBL363232,CC(C)C[C@H](CC(=O)[C@H](Cc1ccc(C(F)(F)C(=O)O)cc1)NC(=O)[C@H](CCC(=O)OCc1ccccc1)NC(=O)OCC1c2ccccc2-c2ccccc21)C(N)=O,'=',3.1,nM
50,CHEMBL284765,CCOc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)ccc2OCC(=O)O)cc1,'=',0.052000000000000005,nM
51,CHEMBL282855,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc2c(Br)c(OCC(=O)O)ccc2c1,'=',1.3,nM
52,CHEMBL433065,O=C(Nc1ccc2c(c1)C(=O)C(=O)C=C2c1ccccc1)OCc1ccccc1,'=',2.25,nM
53,CHEMBL58848,COC(=O)CCc1ccc2c(c1)C(c1ccccc1)=CC(=O)C2=O,'=',0.33,nM
54,CHEMBL9321,O=P(O)(O)C(F)(F)c1ccc(CC(CCCc2ccccc2)(c2ccccc2)n2nnc3ccccc32)cc1,'=',0.65,nM
55,CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,'=',0.28,nM
56,CHEMBL24606,Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,'=',1.07,nM
57,CHEMBL8758,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)c(Br)c1)c1ccccc1,'=',1.22,nM
58,CHEMBL3350944,Cc1ccc2oc(Cc3ccccc3)c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)O)cc4)cc3)c2c1,'=',0.41,nM
59,CHEMBL1778924,COc1cc(O)c(Br)cc1/C=C/C(=O)c1cccc(N2CCCCC2)c1,'=',4.9,nM
60,CHEMBL505561,COc1ccc(OC)c([C@@H]2O[C@H](Cn3cc(COC(=O)c4cccc(C(=O)OCc5cn(C[C@H]6O[C@@H](c7cc(OC)ccc7OC)[C@H](OC(=O)c7ccccc7)[C@@H](OC(=O)c7ccccc7)[C@@H]6OC(=O)c6ccccc6)nn5)c4)nn3)[C@@H](OC(=O)c3ccccc3)[C@H](OC(=O)c3ccccc3)[C@H]2OC(=O)c2ccccc2)c1,'=',0.87,nM
61,CHEMBL1765349,O=C(O)c1ccc(COc2cccc(/C=C3\S/C(=N\c4ccccc4)N(Cc4ccc(C(=O)O)cc4)C3=O)c2)cc1,'=',0.22,nM
62,CHEMBL1765350,CCCC(CCC)c1ccc(OCc2ccc(-c3csc(CN(CC(=O)O)Cc4ncc(C(C)(C)C)s4)n3)cc2)cc1,'=',0.22,nM
63,CHEMBL267022,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)c1ccccc1,'=',2.0,nM
64,CHEMBL1801439,Cc1ccc(S(=O)(=O)Oc2cc(OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c(/C=C3\SC(=O)NC3=O)cc2Br)cc1,'=',2.0,nM
65,CHEMBL190801,O=C1CN(c2ccccc2)S(=O)(=O)N1,'=',2.5,nM
66,CHEMBL1078307,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,'=',0.22,nM
67,CHEMBL1078662,CCCCCCCCCCCCCCCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1C(=O)O,'=',0.59,nM
68,CHEMBL169,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,'=',2.5,nM
69,CHEMBL1801406,O=C1NC(=O)/C(=C/c2ccc(OCc3ccc(F)cc3)cc2OCc2ccccc2)S1,'=',9.0,nM
70,CHEMBL511000(1),CC1(C)CC[C@]2(C(=O)Nc3ccc(C(=O)O)cc3)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',3.09,nM
71,CHEMBL279936(1),CCCCc1oc2ccccc2c1Cc1ccc(-c2ccc(OCC(=O)O)cc2)cc1,'=',1.15,nM
72,CHEMBL25881,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2ccc(OC(Cc3ccccc3)C(=O)O)cc2)cc1,'=',1.3,nM
73,CHEMBL472400,CC1(C)CC[C@]2(CCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',2.1,nM
74,CHEMBL509868,CC1(C)CC[C@]2(CCCCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.59,nM
75,CHEMBL452449,Cc1ccccc1CC(NC(=O)CCCC[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,'=',0.55,nM
76,CHEMBL446573,COc1ccccc1CC(NC(=O)CCCC[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,'=',0.53,nM
77,CHEMBL507502,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',0.44,nM
78,CHEMBL446073,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',5.97,nM
79,CHEMBL448816,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6ccccc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,'=',2.67,nM
80,CHEMBL381584,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],'=',0.015,nM
81,CHEMBL197929,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)Cc2cccs2)cc1,'=',1.0,nM
82,CHEMBL198882,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,'=',0.07400000000000001,nM
83,CHEMBL193233,COc1ccc(-c2ccccc2)cc1N1CC(=O)NS1(=O)=O,'=',2.47,nM
84,CHEMBL377236,COC(=O)/C1=C/c2c([nH]c3ccccc23)/C(C(=O)OC)=C\c2c1[nH]c1ccccc21,'=',3.77,nM
85,CHEMBL267245,O=C(OCc1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,'=',0.24,nM
86,CHEMBL253475,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)C3=NC[C@@H](Cc4ccccc4)N3)cc2)S(=O)(=O)N1,'=',0.21,nM
87,CHEMBL253066,C[C@H]1CN=C(C(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)NS(=O)(=O)c2cccc(C(F)(F)F)c2)N1,'=',0.81,nM
88,CHEMBL211061,CC(C)(C)c1cccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc12,'=',0.46,nM
89,CHEMBL264833,N#Cc1ccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc2c1,'=',0.053,nM
90,CHEMBL208982,Cc1cccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc12,'=',0.19,nM
91,CHEMBL187343,Cc1ccc2c(c1)CCN2CCC(=O)N[C@@H](CCC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccc(OCC(=O)O)cc1)C(=O)C[C@@H](CC(C)C)C(N)=O,'=',4.3,nM
92,CHEMBL428184,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(OC(F)(C(=O)O)C(=O)O)cc1)C(=O)N[C@@H](CC(C)C)C(N)=O,'=',1.0,nM
93,CHEMBL515146,O=c1c(Cc2ccc(-c3ccccc3)cc2)c(-c2ccc(O)cc2)oc2cc(O)c(O)cc12,'=',2.0,nM
