,0
0,0.8653
1,0.4813
2,0.8769
3,0.9121
4,0.7382
5,0.7396
6,0.8651
7,0.7352
8,0.6537
9,0.8716
10,0.8628
11,0.7536
12,0.7483
13,0.7373
14,0.6761
15,0.8093
16,0.7337
17,0.7827
18,0.9192
19,0.8528
20,0.5846
21,0.9296
22,0.8496
23,0.8524
24,0.8967
25,0.6806
26,0.868
27,0.9451
28,0.776
29,0.8444
30,0.7942
31,0.6823
32,0.71
33,0.9132
34,0.8183
35,0.9005
36,0.6441
37,0.881
38,0.8795
39,0.6867
40,0.8837
41,0.856
42,0.8604
43,0.7593
44,0.7335
45,0.9355
46,0.7276
47,0.7774
48,0.8519
49,0.4862
50,0.6791
51,0.8511
52,0.8657
53,0.6698
54,0.8542
55,0.773
56,0.4138
57,0.5956
58,0.8757
59,0.8619
60,0.6747
61,0.732
62,0.6808
63,0.7189
64,0.9022
65,0.7619
66,0.8412
67,0.6586
68,0.9019
69,0.8458
70,0.6463
71,0.7904
72,0.8049
73,0.8328
74,0.7812
75,0.8314
76,0.8572
77,0.9302
78,0.7965
79,0.8366
80,0.7498
81,0.7858
82,0.8671
83,0.6844
84,0.8204
85,0.8467
86,0.8381
87,0.7956
88,0.755
89,0.8702
90,0.7579
91,0.8587
92,0.729
93,0.827
94,0.7978
95,0.8284
96,0.611
97,0.9081
98,0.8668
99,0.9083
100,0.7055
101,0.7948
102,0.6823
103,0.7185
104,0.8666
105,0.6806
106,0.8791
107,0.8806
108,0.8496
109,0.7287
110,0.881
111,0.6583
112,0.8675
113,0.8564
114,0.9045
115,0.8519
116,0.6317
117,0.8183
118,0.7614
119,0.8511
120,0.8746
121,0.827
122,0.8314
123,0.8628
124,0.8579
125,0.7052
126,0.7171
127,0.8478
128,0.8902
129,0.7614
130,0.9175
131,0.8555
132,0.776
133,0.6252
134,0.6557
135,0.773
136,0.8168
137,0.6698
138,0.7337
139,0.755
140,0.6548
141,0.7904
142,0.8589
143,0.7658
144,0.881
145,0.8772
146,0.8787
147,0.7352
148,0.6385
149,0.7272
150,0.8551
151,0.8709
152,0.7882
153,0.6313
154,0.7629
155,0.7812
156,0.898
157,0.7594
158,0.6954
159,0.9036
160,0.8619
161,0.7886
162,0.8565
163,0.6552
164,0.8467
165,0.8836
166,0.6487
167,0.7189
168,0.6683
169,0.8537
170,0.8651
171,0.8366
172,0.8948
173,0.7369
174,0.729
175,0.8701
176,0.7483
177,0.8458
178,0.71
179,0.8284
180,0.8604
181,0.76
182,0.7956
183,0.6761
184,0.869
185,0.8939
186,0.7715
187,0.8966
188,0.732
189,0.7498
190,0.8381
191,0.7335
192,0.8328
193,0.8117
194,0.7774
195,0.7387
196,0.7827
197,0.758
198,0.6757
199,0.7806
200,0.8675
201,0.7904
202,0.8701
203,0.6583
204,0.7715
205,0.8168
206,0.8693
207,0.6954
208,0.695
209,0.7948
210,0.8619
211,0.8511
212,0.9036
213,0.8589
214,0.7287
215,0.8916
216,0.7171
217,0.8564
218,0.789
219,0.8709
220,0.8477
221,0.8117
222,0.7644
223,0.8604
224,0.773
225,0.881
226,0.6698
227,0.6794
228,0.7536
229,0.6746
230,0.7774
231,0.827
232,0.885
233,0.7886
234,0.8806
235,0.7913
236,0.8183
237,0.8939
238,0.8649
239,0.7658
240,0.8314
241,0.7189
242,0.8875
243,0.7337
244,0.7483
245,0.7185
246,0.8049
247,0.8628
248,0.76
249,0.776
250,0.8579
251,0.8836
252,0.8519
253,0.8381
254,0.8121
255,0.8496
256,0.7272
257,0.758
258,0.8366
259,0.6385
260,0.7498
261,0.7352
262,0.9077
263,0.9082
264,0.8772
265,0.9152
266,0.8328
267,0.729
268,0.8537
269,0.755
270,0.7055
271,0.7369
272,0.732
273,0.7882
274,0.8444
275,0.6548
276,0.7594
277,0.7052
278,0.6879
279,0.8284
280,0.8787
281,0.8551
282,0.7383
283,0.8458
284,0.8667
285,0.7396
286,0.7827
287,0.8467
288,0.6487
289,0.8604
290,0.869
291,0.675
292,0.7335
293,0.8746
294,0.8638
295,0.8623
296,0.8671
297,0.8617
298,0.7871
299,0.8146
300,0.8551
301,0.6736
302,0.7052
303,0.881
304,0.7272
305,0.8523
306,0.8183
307,0.7886
308,0.7483
309,0.7383
310,0.827
311,0.6596
312,0.8589
313,0.8565
314,0.8902
315,0.7774
316,0.9045
317,0.8496
318,0.615
319,0.8537
320,0.6698
321,0.6954
322,0.8649
323,0.9142
324,0.8772
325,0.8444
326,0.695
327,0.8049
328,0.7055
329,0.8731
330,0.8854
331,0.8746
332,0.8984
333,0.8519
334,0.7185
335,0.776
336,0.8478
337,0.9294
338,0.6252
339,0.8366
340,0.7827
341,0.755
342,0.9063
343,0.7658
344,0.7287
345,0.8381
346,0.7715
347,0.6794
348,0.8916
349,0.8791
350,0.9036
351,0.8284
352,0.8467
353,0.7396
354,0.6569
355,0.8651
356,0.773
357,0.8314
358,0.7536
359,0.9179
360,0.8687
361,0.7956
362,0.8681
363,0.7352
364,0.6472
365,0.6548
366,0.8168
367,0.7335
368,0.8604
369,0.8634
370,0.8103
371,0.8117
372,0.7337
373,0.675
374,0.8328
375,0.8121
376,0.729
377,0.8787
378,0.885
379,0.8939
380,0.8564
381,0.8511
382,0.7812
383,0.8836
384,0.7189
385,0.8458
386,0.678
387,0.7948
388,0.9152
389,0.76
390,0.898
391,0.7644
392,0.9193
393,0.8701
394,0.6371
395,0.7171
396,0.732
397,0.7498
398,0.758
399,0.8555
400,0.8772
401,0.8038
402,0.6794
403,0.8649
404,0.7189
405,0.776
406,0.8585
407,0.7956
408,0.881
409,0.7383
410,0.6557
411,0.7942
412,0.8701
413,0.9045
414,0.6825
415,0.71
416,0.8667
417,0.8875
418,0.8651
419,0.7812
420,0.7886
421,0.6926
422,0.7499
423,0.8537
424,0.8284
425,0.7965
426,0.8565
427,0.9063
428,0.8564
429,0.7647
430,0.7185
431,0.8939
432,0.8381
433,0.732
434,0.7369
435,0.7387
436,0.7498
437,0.7276
438,0.7335
439,0.7536
440,0.8183
441,0.9216
442,0.8366
443,0.9036
444,0.8314
445,0.9175
446,0.6596
447,0.758
448,0.7272
449,0.9277
450,0.7337
451,0.7827
452,0.9022
453,0.869
454,0.8496
455,0.8579
456,0.729
457,0.7352
458,0.6552
459,0.8117
460,0.8836
461,0.6732
462,0.9295
463,0.8412
464,0.9257
465,0.7715
466,0.8458
467,0.9296
468,0.6698
469,0.8121
470,0.8916
471,0.8519
472,0.8731
473,0.8444
474,0.9354
475,0.8746
476,0.8511
477,0.8693
478,0.7913
479,0.8555
480,0.8681
481,0.8791
482,0.8477
483,0.8467
484,0.7483
485,0.6548
486,0.7904
487,0.76
488,0.7644
489,0.6252
490,0.6361
491,0.827
492,0.7774
493,0.8168
494,0.8551
495,0.8328
496,0.8966
497,0.8948
498,0.675
499,0.873
500,0.6957
501,0.7974
502,0.7827
503,0.8806
504,0.7644
505,0.8555
506,0.8836
507,0.6596
508,0.8564
509,0.7055
510,0.8201
511,0.7904
512,0.8537
513,0.776
514,0.6552
515,0.7337
516,0.6698
517,0.7272
518,0.7658
519,0.773
520,0.7369
521,0.8444
522,0.9036
523,0.8604
524,0.8519
