,mol,dup
0,CHEMBL506556(1),CHEMBL506556
1,CHEMBL511000(1),CHEMBL511000
2,CHEMBL457064(1),CHEMBL457064
3,CHEMBL279936(1),CHEMBL279936
4,CHEMBL1783771(1),CHEMBL1783771
5,CHEMBL1783783(1),CHEMBL1783783
6,CHEMBL24068(1),CHEMBL24068
7,CHEMBL169(1),CHEMBL169
8,CHEMBL24032(1),CHEMBL24032
9,CHEMBL8725(1),CHEMBL8725
10,CHEMBL420456(1),CHEMBL420456
11,CHEMBL89067(1),CHEMBL89067
12,CHEMBL278092(1),CHEMBL278092
13,CHEMBL266753(1),CHEMBL266753
14,CHEMBL89067(2),CHEMBL89067
15,CHEMBL89067(3),CHEMBL89067
16,CHEMBL95255(1),CHEMBL95255
17,CHEMBL280487(1),CHEMBL280487
18,CHEMBL428184(1),CHEMBL428184
19,CHEMBL129681(1),CHEMBL129681
20,CHEMBL230006(1),CHEMBL230006
21,CHEMBL365490(1),CHEMBL365490
22,CHEMBL266056(1),CHEMBL266056
23,CHEMBL168(1),CHEMBL168
24,CHEMBL416145(1),CHEMBL416145
25,CHEMBL426373(1),CHEMBL426373
26,CHEMBL506934(1),CHEMBL506934
27,CHEMBL99776(1),CHEMBL99776
28,CHEMBL420456(2),CHEMBL420456
29,CHEMBL168(2),CHEMBL168
30,CHEMBL303581(1),CHEMBL303581
31,CHEMBL95255(2),CHEMBL95255
32,CHEMBL426373(2),CHEMBL426373
33,CHEMBL506882(1),CHEMBL506882
34,CHEMBL458009(1),CHEMBL458009
35,CHEMBL280487(2),CHEMBL280487
36,CHEMBL382311(1),CHEMBL382311
37,CHEMBL426373(3),CHEMBL426373
38,CHEMBL267245(1),CHEMBL267245
39,CHEMBL508831(1),CHEMBL508831
40,CHEMBL467572(1),CHEMBL467572
41,CHEMBL512442(1),CHEMBL512442
42,CHEMBL24843(1),CHEMBL24843
43,CHEMBL255890(1),CHEMBL255890
44,CHEMBL266753(2),CHEMBL266753
45,CHEMBL8758(1),CHEMBL8758
46,CHEMBL1783788(1),CHEMBL1783788
47,CHEMBL1783786(1),CHEMBL1783786
48,CHEMBL1783790(1),CHEMBL1783790
49,CHEMBL169(2),CHEMBL169
50,CHEMBL430266(1),CHEMBL430266
51,CHEMBL506556(2),CHEMBL506556
52,CHEMBL168(3),CHEMBL168
53,CHEMBL184041(1),CHEMBL184041
54,CHEMBL8662(1),CHEMBL8662
55,CHEMBL266753(3),CHEMBL266753
56,CHEMBL169(3),CHEMBL169
57,CHEMBL268526(1),CHEMBL268526
58,CHEMBL426373(4),CHEMBL426373
59,CHEMBL187610(1),CHEMBL187610
60,CHEMBL266753(4),CHEMBL266753
61,CHEMBL9339(1),CHEMBL9339
62,CHEMBL266753(5),CHEMBL266753
63,CHEMBL394090(1),CHEMBL394090
64,CHEMBL266056(2),CHEMBL266056
65,CHEMBL224039(1),CHEMBL224039
66,CHEMBL25628(1),CHEMBL25628
67,CHEMBL1083271(1),CHEMBL1083271
68,CHEMBL108721(1),CHEMBL108721
69,CHEMBL169(4),CHEMBL169
70,CHEMBL511000(2),CHEMBL511000
71,CHEMBL459758(1),CHEMBL459758
72,CHEMBL228563(1),CHEMBL228563
73,CHEMBL168(4),CHEMBL168
74,CHEMBL24141(1),CHEMBL24141
75,CHEMBL426373(5),CHEMBL426373
76,CHEMBL267759(1),CHEMBL267759
77,CHEMBL266753(6),CHEMBL266753
78,CHEMBL1232829(1),CHEMBL1232829
79,CHEMBL89067(4),CHEMBL89067
80,CHEMBL287278(1),CHEMBL287278
81,CHEMBL24201(1),CHEMBL24201
82,CHEMBL276376(1),CHEMBL276376
83,CHEMBL9252(1),CHEMBL9252
84,CHEMBL267981(1),CHEMBL267981
85,CHEMBL8767(1),CHEMBL8767
86,CHEMBL267022(1),CHEMBL267022
87,CHEMBL51314(1),CHEMBL51314
88,CHEMBL190801(1),CHEMBL190801
89,CHEMBL280647(1),CHEMBL280647
90,CHEMBL1086228(1),CHEMBL1086228
91,CHEMBL284763(1),CHEMBL284763
92,CHEMBL168(5),CHEMBL168
93,CHEMBL190801(2),CHEMBL190801
94,CHEMBL24005(1),CHEMBL24005
95,CHEMBL24331(1),CHEMBL24331
96,CHEMBL169(5),CHEMBL169
97,CHEMBL129681(2),CHEMBL129681
98,CHEMBL2424697(1),CHEMBL2424697
99,CHEMBL2424691(1),CHEMBL2424691
100,CHEMBL211655(1),CHEMBL211655
101,CHEMBL426373(6),CHEMBL426373
102,CHEMBL168(6),CHEMBL168
103,CHEMBL25558(1),CHEMBL25558
104,CHEMBL24068(2),CHEMBL24068
105,CHEMBL388814(1),CHEMBL388814
106,CHEMBL376340(1),CHEMBL376340
107,CHEMBL25628(2),CHEMBL25628
108,CHEMBL285308(1),CHEMBL285308
109,CHEMBL266753(7),CHEMBL266753
110,CHEMBL252642(1),CHEMBL252642
111,CHEMBL168(7),CHEMBL168
112,CHEMBL184041(2),CHEMBL184041
113,CHEMBL269166(1),CHEMBL269166
114,CHEMBL470029(1),CHEMBL470029
115,CHEMBL168(8),CHEMBL168
116,CHEMBL169(6),CHEMBL169
117,CHEMBL204337(1),CHEMBL204337
118,CHEMBL24213(1),CHEMBL24213
119,CHEMBL284471(1),CHEMBL284471
